漢字	行列10	行列30	行列30鍵位
口	0-	0-	;
品	0- 0- 0-	0-0-0-	;;;
氉	0- 0- 0- 12	0-0-0-1^	;;;q
嵒	0- 0- 0- 3-	0-0-0-3-	;;;d
劋	0- 0- 0- 33	0-0-0-3^	;;;e
嘽	0- 0- 0- 4-	0-0-0-4-	;;;f
噪	0- 0- 0- 48	0-0-0-4v	;;;v
喿	0- 0- 0- 48	0-0-0-4v	;;;v
碞	0- 0- 0- 5-	0-0-0-5-	;;;g
鄵	0- 0- 0- 53	0-0-0-5^	;;;t
戰	0- 0- 01 26	0-0-0^2v	;;px
囅	0- 0- 01 28	0-0-0^2v	;;px
辴	0- 0- 01 28	0-0-0^2v	;;px
單	0- 0- 01 4-	0-0-0^4-	;;pf
鄲	0- 0- 01 53	0-0-0^5^	;;pt
鷤	0- 0- 01 88	0-0-0^8v	;;p,
鼉	0- 0- 04 51	0-0-0^5^	;;pt
獸	0- 0- 04 6-	0-0-0^6-	;;ph
囂	0- 0- 1- 0-	0-0-1-0-	;;a;
喌	0- 0- 1- 3-	0-0-1-3-	;;ad
呺	0- 0- 1- 5-	0-0-1-5-	;;ag
咢	0- 0- 1- 5-	0-0-1-5-	;;ag
鄂	0- 0- 1- 53	0-0-1-5^	;;at
顎	0- 0- 1- 78	0-0-1-7v	;;am
鶚	0- 0- 1- 88	0-0-1-8v	;;a,
嚚	0- 0- 12 0-	0-0-1^0-	;;q;
器	0- 0- 18 0-	0-0-1v0-	;;z;
哭	0- 0- 18 6-	0-0-1v6-	;;zh
嚴	0- 0- 19 98	0-0-1v9v	;;z.
咒	0- 0- 2-	0-0-2-	;;s
嘂	0- 0- 2- 0-	0-0-2-0-	;;s;
串	0- 0- 3-	0-0-3-	;;d
患	0- 0- 3- 66	0-0-3-6v	;;dn
嘳	0- 0- 3- 78	0-0-3-7v	;;dm
丳	0- 0- 33	0-0-3^	;;e
哫	0- 0- 38	0-0-3v	;;c
唈	0- 0- 51 2-	0-0-5^2-	;;ts
斝	0- 0- 7- 4-	0-0-7-4-	;;jf
遻	0- 0- 81 68	0-0-8^6v	;;in
嘍	0- 01 0- 21	0-0^0-2^	;p;w
唱	0- 01 01	0-0^0^	;pp
呾	0- 01 1-	0-0^1-	;pa
哻	0- 01 1- 4-	0-0^1-4-	;paf
嘬	0- 01 1- 58	0-0^1-5v	;pab
呻	0- 01 3-	0-0^3-	;pd
呷	0- 01 3-	0-0^3-	;pd
哩	0- 01 41	0-0^4^	;pr
嚗	0- 01 41 38	0-0^4^3v	;prc
喁	0- 01 76	0-0^7v	;pm
嘿	0- 01 88	0-0^8v	;p,
嚜	0- 01 88 41	0-0^8v4^	;p,r
喝	0- 01 95 2-	0-0^9-2-	;pls
喂	0- 04 1- 28	0-0^1-2v	;pax
嘓	0- 04 10 26	0-0^1^2v	;pqx
咽	0- 04 18	0-0^1v	;pz
嗯	0- 04 18 66	0-0^1v6v	;pzn
噥	0- 04 4- 28	0-0^4-2v	;pfx
嗶	0- 04 4- 4-	0-0^4-4-	;pff
喟	0- 04 71	0-0^7^	;pu
雖	0- 06 8- 61	0-0v8-6^	;/ky
呬	0- 08	0-0v	;/
噮	0- 08 10 28	0-0v1^2v	;/qx
囉	0- 08 28 61	0-0v2v6^	;/xy
嚃	0- 08 38 68	0-0v3v6v	;/cn
嗢	0- 08 71	0-0v7^	;/u
嘪	0- 08 78	0-0v7v	;/m
噣	0- 08 95 06	0-0v9-0v	;/l/
唒	0- 1- 01	0-1-0^	;ap
咺	0- 1- 01 1-	0-1-0^1-	;apa
哽	0- 1- 01 98	0-1-0^9v	;ap.
哂	0- 1- 08	0-1-0v	;a/
喓	0- 1- 08 21	0-1-0v2^	;a/w
嘌	0- 1- 08 38	0-1-0v3v	;a/c
嘾	0- 1- 08 4-	0-1-0v4-	;a/f
咥	0- 1- 26 41	0-1-2v4^	;axr
叮	0- 1- 3-	0-1-3-	;ad
吨	0- 1- 3- 2-	0-1-3-2-	;ads
噸	0- 1- 3- 78	0-1-3-7v	;adm
咠	0- 1- 31	0-1-3^	;ae
咡	0- 1- 31	0-1-3^	;ae
戢	0- 1- 31 26	0-1-3^2v	;aex
囁	0- 1- 31 31	0-1-3^3^	;aee
嘕	0- 1- 31 88	0-1-3^8v	;ae,
啞	0- 1- 33 1-	0-1-3^1-	;aea
噁	0- 1- 33 66	0-1-3^6v	;aen
吁	0- 1- 4-	0-1-4-	;af
喢	0- 1- 4- 91	0-1-4-9^	;afo
哢	0- 1- 41 4-	0-1-4^4-	;arf
味	0- 1- 48	0-1-4v	;av
號	0- 1- 5- 2-	0-1-5-2-	;ags
饕	0- 1- 5- 28	0-1-5-2v	;agx
鴞	0- 1- 5- 88	0-1-5-8v	;ag,
唔	0- 1- 51 0-	0-1-5^0-	;at;
啑	0- 1- 51 38	0-1-5^3v	;atc
啢	0- 1- 7- 8-	0-1-7-8-	;ajk
咧	0- 1- 76 33	0-1-7v3^	;ame
呯	0- 1- 84	0-1-8^	;ai
嘎	0- 1- 9- 26	0-1-9-2v	;alx
喕	0- 1- 9- 31	0-1-9-3^	;ale
嗄	0- 1- 9- 98	0-1-9-9v	;al.
嚘	0- 1- 9- 98	0-1-9-9v	;al.
啄	0- 1- 98 6-	0-1-9v6-	;a.h
呵	0- 10 3-	0-1^3-	;qd
囔	0- 10 3- 28	0-1^3-2v	;qdx
嗝	0- 10 7- 3-	0-1^7-3-	;qjd
噉	0- 11 31 98	0-1^3^9v	;qe.
嗊	0- 11 78	0-1^7v	;qm
叱	0- 12	0-1^	;q
嘔	0- 12 0- 0-	0-1^0-0-	;q;;
喈	0- 12 12 01	0-1^1^0^	;qqp
噆	0- 12 2- 01	0-1^2-0^	;qsp
嚂	0- 12 3- 71	0-1^3-7^	;qdu
呀	0- 12 3- 9-	0-1^3-9-	;qdl
咂	0- 12 7- 3-	0-1^7-3-	;qjd
嘈	0- 14 01	0-1^0^	;qp
囀	0- 14 16 6-	0-1^1v6-	;qzh
哺	0- 14 6-	0-1^6-	;qh
嗹	0- 14 68	0-1^6v	;qn
吥	0- 16	0-1v	;z
呸	0- 16 1-	0-1v1-	;za
唷	0- 16 71	0-1v7^	;zu
唵	0- 18 01 2-	0-1v0^2-	;zps
嚅	0- 18 1- 33	0-1v1-3^	;zae
唪	0- 18 4-	0-1v4-	;zf
咦	0- 18 51 5-	0-1v5^5-	;ztg
吠	0- 18 6-	0-1v6-	;zh
呔	0- 18 6-	0-1v6-	;zh
嘹	0- 18 8- 38	0-1v8-3v	;zkc
唊	0- 18 8- 8-	0-1v8-8-	;zkk
喱	0- 19 01 41	0-1v0^4^	;zpr
嗕	0- 19 1- 6-	0-1v1-6-	;zah
喊	0- 19 10 26	0-1v1^2v	;zqx
哤	0- 19 2- 6-	0-1v2-6-	;zsh
吰	0- 19 26	0-1v2v	;zx
嘁	0- 19 31 26	0-1v3^2v	;zex
啀	0- 19 41 41	0-1v4^4^	;zrr
呃	0- 19 5- 2-	0-1v5-2-	;zgs
咘	0- 19 7- 3-	0-1v7-3-	;zjd
噘	0- 19 81 8-	0-1v8^8-	;zik
嚦	0- 19 9- 31	0-1v9-3^	;zle
兄	0- 2-	0-2-	;s
叫	0- 2- 3-	0-2-3-	;sd
咷	0- 2- 88	0-2-8v	;s,
呶	0- 21 58	0-2^5v	;wb
喙	0- 21 98	0-2^9v	;w.
嗈	0- 22 0- 2-	0-2^0-2-	;w;s
呣	0- 25 16	0-2-1v	;sz
吆	0- 26	0-2v	;x
咍	0- 26 0-	0-2v0-	;x;
吮	0- 26 2-	0-2v2-	;xs
嘰	0- 26 26 26	0-2v2v2v	;xxx
呦	0- 26 59	0-2v5v	;xb
唆	0- 26 8- 98	0-2v8-9v	;xk.
唉	0- 26 91 18	0-2v9^1v	;xoz
哞	0- 26 91 4-	0-2v9^4-	;xof
喲	0- 28 95 6-	0-2v9-6-	;xlh
中	0- 3-	0-3-	;d
喦	0- 3- 0- 3-	0-3-0-3-	;d;d
嗤	0- 3- 1- 06	0-3-1-0v	;da/
喘	0- 3- 1- 33	0-3-1-3^	;dae
遺	0- 3- 1- 68	0-3-1-6v	;dan
遣	0- 3- 1- 68	0-3-1-6v	;dan
貴	0- 3- 1- 78	0-3-1-7v	;dam
咄	0- 3- 3-	0-3-3-	;dd
忠	0- 3- 66	0-3-6v	;dn
盅	0- 3- 71	0-3-7^	;du
嗺	0- 3- 8- 61	0-3-8-6^	;dky
呫	0- 31 0-	0-3^0-	;e;
啅	0- 31 01 4-	0-3^0^4-	;epf
呲	0- 31 12	0-3^1^	;eq
喍	0- 31 12 48	0-3^1^4v	;eqv
嘴	0- 31 12 7-	0-3^1^7-	;eqj
噦	0- 31 19 26	0-3^1v2v	;ezx
啡	0- 31 31	0-3^3^	;ee
嚬	0- 31 39 78	0-3^3v7v	;ecm
嚪	0- 31 7- 91	0-3^7-9^	;ejo
啃	0- 31 71	0-3^7^	;eu
嚙	0- 31 83	0-3^8^	;ei
噳	0- 32 0- 18	0-3^0-1v	;e;z
嚧	0- 32 04 71	0-3^0^7^	;epu
噱	0- 32 1- 98	0-3^1-9v	;ea.
唬	0- 32 2-	0-3^2-	;es
噓	0- 32 21 1-	0-3^2^1-	;ewa
足	0- 38	0-3v	;c
噗	0- 38 1- 18	0-3v1-1v	;caz
唦	0- 38 38 9-	0-3v3v9-	;ccl
啵	0- 38 53 58	0-3v5^5v	;ctb
嚐	0- 38 7- 01	0-3v7-0^	;cjp
噹	0- 38 7- 04	0-3v7-0^	;cjp
哨	0- 38 71	0-3v7^	;cu
嗩	0- 38 78	0-3v7v	;cm
吵	0- 38 9-	0-3v9-	;cl
嗨	0- 38 91 16	0-3v9^1v	;coz
咕	0- 4- 0-	0-4-0-	;f;
嚾	0- 4- 0- 61	0-4-0-6^	;f;y
囆	0- 4- 01 06	0-4-0^0v	;fp/
嗼	0- 4- 01 18	0-4-0^1v	;fpz
噶	0- 4- 01 2-	0-4-0^2-	;fps
嘲	0- 4- 01 71	0-4-0^7^	;fpu
喵	0- 4- 04	0-4-0^	;fp
嘩	0- 4- 1- 4-	0-4-1-4-	;faf
喏	0- 4- 19 0-	0-4-1v0-	;fz;
嘒	0- 4- 4- 51	0-4-4-5^	;fft
噴	0- 4- 4- 78	0-4-4-7v	;ffm
囈	0- 4- 41 26	0-4-4^2v	;frx
吱	0- 4- 58	0-4-5v	;fb
吋	0- 4- 6-	0-4-6-	;fh
嚆	0- 4- 61 0-	0-4-6^0-	;fy;
喫	0- 4- 7- 18	0-4-7-1v	;fjz
嗦	0- 4- 7- 28	0-4-7-2v	;fjx
嚏	0- 4- 7- 38	0-4-7-3v	;fjc
喃	0- 4- 7- 4-	0-4-7-4-	;fjf
哱	0- 4- 7- 4-	0-4-7-4-	;fjf
囓	0- 4- 7- 83	0-4-7-8^	;fji
嗔	0- 4- 71 8-	0-4-7^8-	;fuk
囌	0- 4- 74 48	0-4-7^4v	;fuv
嗏	0- 4- 8- 48	0-4-8-4v	;fkv
嚄	0- 4- 8- 58	0-4-8-5v	;fkb
嘜	0- 4- 8- 76	0-4-8-7v	;fkm
嗒	0- 4- 81 0-	0-4-8^0-	;fi;
哎	0- 4- 98	0-4-9v	;f.
嘆	0- 40 18	0-4^1v	;rz
嚥	0- 40 31 88	0-4^3^8v	;re,
吐	0- 41	0-4^	;r
咭	0- 41 0-	0-4^0-	;r;
嘻	0- 41 0- 0-	0-4^0-0-	;r;;
唶	0- 41 01	0-4^0^	;rp
咁	0- 41 1-	0-4^1-	;ra
唭	0- 41 1- 8-	0-4^1-8-	;rak
嘶	0- 41 1- 93	0-4^1-9^	;rao
啿	0- 41 12 8-	0-4^1^8-	;rqk
喋	0- 41 2- 48	0-4^2-4v	;rsv
呿	0- 41 26	0-4^2v	;rx
嗑	0- 41 26 71	0-4^2v7^	;rxu
嗉	0- 41 28	0-4^2v	;rx
哧	0- 41 38	0-4^3v	;rc
唗	0- 41 38	0-4^3v	;rc
嚇	0- 41 38 38	0-4^3v3v	;rcc
哇	0- 41 41	0-4^4^	;rr
嘵	0- 41 41 2-	0-4^4^2-	;rrs
嚽	0- 41 65 78	0-4^6-7v	;rhm
嗷	0- 41 65 98	0-4^6-9v	;rh.
嘖	0- 41 78	0-4^7v	;rm
哄	0- 41 8-	0-4^8-	;rk
啈	0- 41 81 4-	0-4^8^4-	;rif
噠	0- 41 81 68	0-4^8^6v	;rin
嗜	0- 41 9- 01	0-4^9-0^	;rlp
咾	0- 41 9- 12	0-4^9-1^	;rlq
哮	0- 41 9- 4-	0-4^9-4-	;rlf
嘟	0- 41 9- 53	0-4^9-5^	;rlt
噎	0- 47 10 81	0-4v1^8^	;vqi
呆	0- 48	0-4v	;v
喇	0- 48 0- 33	0-4v0-3^	;v;e
嗽	0- 48 0- 8-	0-4v0-8-	;v;k
喳	0- 48 01 1-	0-4v0^1-	;vpa
呠	0- 48 1-	0-4v1-	;va
噤	0- 48 48 38	0-4v4v3v	;vvc
唻	0- 48 8- 8-	0-4v8-8-	;vkk
叼	0- 5- 1-	0-5-1-	;ga
吳	0- 5- 18	0-5-1v	;gz
唳	0- 5- 18 6-	0-5-1v6-	;gzh
吇	0- 5- 4-	0-5-4-	;gf
吼	0- 5- 4- 2-	0-5-4-2-	;gfs
哪	0- 5- 4- 53	0-5-4-5^	;gft
吜	0- 5- 41	0-5-4^	;gr
嗎	0- 5- 88	0-5-8v	;g,
喡	0- 51 0- 13	0-5^0-1^	;t;q
噚	0- 51 11 6-	0-5^1^6-	;tqh
呡	0- 51 2- 2-	0-5^2-2-	;tss
噀	0- 51 2- 8-	0-5^2-8-	;tsk
哏	0- 51 28	0-5^2v	;tx
吧	0- 51 3- 2-	0-5^3-2-	;tds
邑	0- 51 3- 2-	0-5^3-2-	;tds
嘯	0- 51 3- 33	0-5^3-3^	;tde
嚍	0- 51 3- 71	0-5^3-7^	;tdu
咈	0- 51 5- 33	0-5^5-3^	;tge
唚	0- 51 7- 58	0-5^7-5v	;tjb
吷	0- 51 8-	0-5^8-	;tk
啊	0- 53 10 3-	0-5^1^3-	;tqd
噊	0- 56 5- 0-	0-5v5-0-	;bg;
唧	0- 56 7-	0-5v7-	;bj
噿	0- 58 58 4-	0-5v5v4-	;bbf
嗓	0- 58 58 48	0-5v5v4v	;bbv
啜	0- 58 58 58	0-5v5v5v	;bbb
嚁	0- 58 58 61	0-5v5v6^	;bby
嘐	0- 58 58 99	0-5v5v9v	;bb.
另	0- 59	0-5v	;b
叻	0- 59	0-5v	;b
咖	0- 59 0-	0-5v0-	;b;
喔	0- 59 1- 41	0-5v1-4^	;bar
呢	0- 59 12	0-5v1^	;bq
啒	0- 59 3- 3-	0-5v3-3-	;bdd
囑	0- 59 38 06	0-5v3v0v	;bc/
嗋	0- 59 59 71	0-5v5v7^	;bbu
唰	0- 59 7- 33	0-5v7-3^	;bje
呎	0- 59 8-	0-5v8-	;bk
啷	0- 6- 56 53	0-6-5v5^	;hbt
噅	0- 6- 9- 88	0-6-9-8v	;hl,
唁	0- 60	0-6^	;y
嗃	0- 61 0- 0-	0-6^0-0-	;y;;
喨	0- 61 0- 2-	0-6^0-2-	;y;s
嚷	0- 61 0- 28	0-6^0-2v	;y;x
